Vizualizare Agenda at 2020-04-26 01:58:17.101
Adaugare Agenda at 2020-04-26 01:58:22.28
Stergere din Agenda at 2020-04-26 01:58:25.906
Inapoi in Meniu at 2020-04-26 01:58:28.216
Vizualizare Notite at 2020-04-26 01:58:35.575
Adaugarea unei Notite at 2020-04-26 01:58:39.75
Inapoi in Meniu at 2020-04-26 01:58:41.146
Afisare PlayList at 2020-04-26 01:58:48.839
Adaugarea unei melodii in PlayList at 2020-04-26 01:59:07.149
Inapoi in Meniu at 2020-04-26 01:59:09.34
Afisare detalii telefon at 2020-04-26 01:59:12.059
CPU Overclock at 2020-04-26 01:59:13.192
Update la sistem at 2020-04-26 01:59:15.519
Inapoi in Meniu at 2020-04-26 01:59:21.51
Afisare retele WIFI at 2020-04-26 01:59:28.145
Adaugare Retea WIFI at 2020-04-26 01:59:39.338
Conectare la o retea WIFI at 2020-04-26 01:59:41.905
Deconectarea dintr-o retea WIFI at 2020-04-26 01:59:45.303
Stergere retea WIFI at 2020-04-26 01:59:48.326
Inapoi in Meniu at 2020-04-26 01:59:49.704
